Account,Segment,ARR ($),Health Score (0-100),Renewal Date,Last NPS,Open Support Tickets,Last Contact,Risk Level,Notes
Costco Canada,Enterprise,580000,42,2026-07-01,5,7,2026-06-13,Critical,Shipment delay — threatening contract review. Urgent CEO call requested.
Amazon Marketplace,Enterprise,450000,38,2026-09-30,4,12,2026-06-14,Critical,Product listing suspended — labeling compliance issue with Health Canada.
Whole Foods Partnership,Enterprise,320000,85,2026-08-15,9,1,2026-06-10,Healthy,Strong sell-through. Discussing expanded shelf placement for Q3.
iHerb Channel,Enterprise,290000,68,2026-11-15,7,3,2026-06-12,Healthy,Stable. Requested co-branded landing page for fall campaign.
Vitacost Distribution,Enterprise,210000,30,2026-07-15,3,5,2026-06-11,At Risk,$45K billing dispute from Q1 still unresolved. CFO engaged.
GNC Retail Program,Strategic,175000,72,2026-10-01,8,2,2026-06-09,Healthy,Pilot in 50 stores performing well. Expansion discussion in July.
Shoppers Drug Mart,Strategic,155000,55,2026-08-01,6,4,2026-06-13,Watch,Requesting exclusive Canadian formulation — needs CEO decision.
Thrive Market,Strategic,120000,61,2026-12-01,7,2,2026-06-08,Healthy,Online bundle performing above expectations.
Natural Grocers,Mid-Market,95000,78,2027-01-15,8,0,2026-06-05,Healthy,Low-touch account. Consistent reorders.
Well.ca,Mid-Market,45000,82,2027-03-01,9,0,2026-06-02,Healthy,Canadian DTC partner. High customer satisfaction.
