# nimbalyst: {"hasHeaders":true,"headerRowCount":1,"frozenColumnCount":0}
Date,Daily Revenue ($),Daily Target ($),DTC Revenue ($),Amazon Revenue ($),Retail Revenue ($),New Subscriptions,Churned Subscriptions,Active Subscribers,Avg Order Value ($),Refund Rate (%),Ad Spend ($),ROAS
2026,118500,115000,82950,23700,11850,47,12,28450,78.5,2.1,15200,5.5
2026,105200,115000,73640,21040,10520,38,15,28473,74.2,2.4,14800,5.1
2026,105200,115000,85960,24560,12280,52,11,28514,81.3,1.9,15500,5.7
2026,105200,115000,69020,19720,9860,31,18,28527,72.1,3.2,15100,4.7
2026,105200,115000,91980,26280,13140,58,9,28576,83.7,1.7,16200,5.8
2026,105200,115000,89530,25580,12790,55,13,28618,80.4,2,15800,5.8
2026,105200,115000,76510,21860,10930,41,16,28643,75.8,2.5,14500,5.4
2026,105200,120000,94640,27040,13520,61,10,28694,85.2,1.6,16800,5.8
2026,119800,120000,83860,23960,11980,48,14,28728,79.1,2.2,15600,5.5
2026,142500,120000,99750,28500,14250,65,8,28785,87.4,1.5,17200,5.9
2026,111600,120000,78120,22320,11160,42,17,28810,76.3,2.6,15300,5.2
2026,128700,120000,90090,25740,12870,54,11,28853,82.6,1.8,16100,5.7
2026,138900,120000,97230,27780,13890,62,9,28906,86.1,1.4,17000,5.9
2026,115400,120000,80780,23080,11540,45,15,28936,77.9,2.3,15400,5.4
2026,124600,120000,87220,24920,12460,51,12,28975,80.8,2,15900,5.6
